S_NO;Order_Date;Order_ID;Requested_Delivery_Date;Customer_ID;Item_ID;Material_ID;Plant;Route_Number;Request_Quantity
1;2023-04-13;100001;2023-04-14;Customer1;10;318;1001;Van1;96
2;2023-04-13;100002;2023-04-14;Customer2;10;318;1001;Van1;120
3;2023-04-13;100003;2023-04-14;Customer3;10;318;1001;Van1;96
4;2023-04-13;100004;2023-04-14;Van1;10;318;1001;Van1;48
5;2023-04-13;100005;2023-04-14;Customer4;10;318;1001;Van1;216
6;2023-04-27;100006;2023-04-14;Customer5;10;318;1001;Van1;120
7;2023-04-13;100007;2023-04-14;Customer6;10;318;1001;Van1;216
8;2023-04-13;100008;2023-04-14;Customer7;10;318;1001;Van1;12
9;2023-04-13;100009;2023-04-14;Customer8;10;318;1001;Van1;24
10;2023-04-13;100010;2023-04-14;Customer9;10;318;1001;Van1;12
11;2023-04-13;100011;2023-04-14;Customer10;10;318;1001;Van2;12
12;2023-04-13;100012;2023-04-14;Customer11;10;318;1001;Van2;12
13;2023-04-13;100013;2023-04-14;Van2;10;318;1001;Van2;12
14;2023-04-13;100014;2023-04-14;Van2;10;318;1001;Van2;12
15;2023-04-13;100015;2023-04-14;Customer12;10;318;1001;Van2;18
16;2023-04-13;100016;2023-04-14;Customer13;10;318;1001;Van2;18
17;2023-04-13;100017;2023-04-14;Customer14;10;318;1001;Van2;12
18;2023-04-13;100018;2023-04-14;Customer15;10;318;1001;Van2;12
19;2023-04-13;100019;2023-04-14;Customer16;10;318;1001;Van2;18
20;2023-04-13;100020;2023-04-14;Customer17;10;318;1001;Van2;18
21;2023-04-13;100001;2023-04-14;Customer1;20;319;1001;Van1;96
22;2023-04-13;100002;2023-04-14;Customer2;20;319;1001;Van1;120
23;2023-04-13;100003;2023-04-14;Customer3;20;319;1001;Van1;96
24;2023-04-13;100004;2023-04-14;Van1;20;319;1001;Van1;48
25;2023-04-13;100005;2023-04-14;Customer4;20;319;1001;Van1;216
26;2023-04-13;100006;2023-04-14;Customer5;20;319;1001;Van1;120
27;2023-04-13;100007;2023-04-14;Customer6;20;319;1001;Van1;216
28;2023-04-13;100008;2023-04-14;Customer7;20;319;1001;Van1;12
29;2023-04-13;100009;2023-04-14;Customer8;20;319;1001;Van1;24
30;2023-04-13;100010;2023-04-14;Customer9;20;319;1001;Van1;12
31;2023-04-13;100011;2023-04-14;Customer10;20;319;1001;Van2;12
32;2023-04-13;100012;2023-04-14;Customer11;20;319;1001;Van2;12
33;2023-04-13;100013;2023-04-14;Van2;20;319;1001;Van2;12
34;2023-04-13;100014;2023-04-14;Van2;20;319;1001;Van2;12
35;2023-04-13;100015;2023-04-14;Customer12;20;319;1001;Van2;18
36;2023-04-13;100016;2023-04-14;Customer13;20;319;1001;Van2;18
37;2023-04-13;100017;2023-04-14;Customer14;20;319;1001;Van2;12
38;2023-04-13;100018;2023-04-14;Customer15;20;319;1001;Van2;12
39;2023-04-13;100019;2023-04-14;Customer16;20;319;1001;Van2;18
40;2023-04-13;100020;2023-04-14;Customer17;20;319;1001;Van2;18
41;2023-04-13;100001;2023-04-14;Customer1;30;331;1001;Van1;96
42;2023-04-13;100002;2023-04-14;Customer2;30;331;1001;Van1;120
43;2023-04-13;100003;2023-04-14;Customer3;30;331;1001;Van1;96
44;2023-04-13;100004;2023-04-14;Van1;30;331;1001;Van1;48
45;2023-04-13;100005;2023-04-14;Customer4;30;331;1001;Van1;216
46;2023-04-13;100006;2023-04-14;Customer5;30;331;1001;Van1;120
47;2023-04-13;100007;2023-04-14;Customer6;30;331;1001;Van1;216
48;2023-04-13;100008;2023-04-14;Customer7;30;331;1001;Van1;12
49;2023-04-13;100009;2023-04-14;Customer8;30;331;1001;Van1;24
50;2023-04-13;100010;2023-04-14;Customer9;30;331;1001;Van1;12
51;2023-04-13;100011;2023-04-14;Customer10;30;331;1001;Van2;12
52;2023-04-13;100012;2023-04-14;Customer11;30;331;1001;Van2;12
53;2023-04-13;100013;2023-04-14;Van2;30;331;1001;Van2;12
54;2023-04-13;100014;2023-04-14;Van2;30;331;1001;Van2;12
